店名,場所,経度,緯度
ポプラ／金沢もりの里店,石川県金沢市もりの里２丁目 １２,136.68654,36.55531
ファミリーマート／能美寺井町店,石川県能美市小長野町 ト４１−１,136.49161,36.43415
ファミリーマート／金沢みどり団地口店,石川県金沢市福増町北 １０５３−２,136.58113,36.56889
ファミリーマート／白山中奥町店,石川県白山市中奥町 １１６,136.5811,36.51664
ファミリーマート／加賀インター前店,石川県加賀市熊坂町 オ２２０,136.29568,36.28902
セブン‐イレブン／野々市押野１丁目店,石川県野々市市押野１丁目 ３７６,136.61806,36.54306
ファミリーマート／白山新田町店,石川県白山市新田町 ２６９−１,136.57292,36.53423
コンビニ＆リカーショップシェリー,石川県金沢市黒田２丁目 ４０１,136.61214,36.56227
セブン‐イレブン／野々市扇が丘店,石川県野々市市扇が丘 ５２０,136.62357,36.53019
ファミリーマート／かほく松浜店,石川県かほく市松浜 イ１１−３,136.71004,36.74357
ヤマザキＹショップ美川ひろた店,石川県白山市鹿島町 は２０９,136.50761,36.50619
ローソン／ＪＲ粟津駅前店,石川県小松市符津町 ウ７５−１,136.42604,36.35519
セブン‐イレブン／金沢片町中央店,石川県金沢市片町１丁目 ５−１５,136.65239,36.55953
ローソン／金沢駅西本町店,石川県金沢市駅西本町３丁目 ６１０,136.63554,36.58293
セブン‐イレブン／小松大島町店,石川県小松市大島町 丙１６２−５,136.44843,36.42767
ファミリーマート／かほく高松中央店,石川県かほく市高松 ウ１−１,136.72374,36.77034
ファミリーマート／内灘向粟崎店,石川県河北郡内灘町字向粟崎１丁目 ４３０,136.63567,36.63158
ハート・イン金沢西口店,石川県金沢市木ノ新保町 １−１,136.64767,36.57717
ローソン／金沢新神田店,石川県金沢市新神田１丁目 １０−８３,136.63184,36.56572
ファミリーマート／野々市堀内三丁目店,石川県野々市市堀内３丁目 ２９,136.60167,36.52773
ファミリーマート／加賀分校店,石川県加賀市分校町 は７７−１,136.40459,36.32487
ファミリーマート／小松長崎町店,石川県小松市長崎町３丁目 １０６−２,136.43494,36.42366
ファミリーマート／内灘鶴ケ丘店,石川県河北郡内灘町字鶴ケ丘４丁目 １２２,136.63727,36.64043
セブン‐イレブン／金沢三池店,石川県金沢市三池栄町 ２９３,136.67035,36.59903
ファミリーマート／内灘大学通り店,石川県河北郡内灘町字大根布６丁目 １０１,136.64432,36.64872
ファミリーマート／白山福留店,石川県白山市福留町 ５３０−１,136.53101,36.49051
ファミリーマート／山代中学校前店,石川県加賀市上野町 エ４６−１,136.37416,36.29762
セブン‐イレブン／野々市高橋町店,石川県野々市市高橋町 １９−１９,136.62364,36.53028
ファミリーマート／金沢幸町店,石川県金沢市幸町 １３−２８,136.65724,36.55508
ローソン／加賀作見店,石川県加賀市作見町 カ７０−１,136.35036,36.32219
セブン‐イレブン／金沢平和町店,石川県金沢市平和町２丁目 ９６,136.66597,36.54157
ファミリーマート／野々市新庄六丁目店,石川県野々市市新庄６丁目 ４０３,136.60805,36.50853
ファミリーマート／内灘向陽台店,石川県河北郡内灘町字向陽台１丁目 ２０７,136.63618,36.63836
ファミリーマート／小松軽海町店,石川県小松市軽海町 甲１０−１,136.50395,36.39959
ファミリーマート／鶴来店,石川県白山市明島町西 １０４−２,136.60252,36.46763
ローソン／野々市粟田店,石川県野々市市粟田５丁目 ３８４,136.60767,36.51413
ローソン／金沢若宮町店,石川県金沢市若宮町ホ ３０−１,136.63318,36.57976
ファミリーマート／山中店,石川県加賀市山中温泉湯の出町 レ１４,136.37274,36.24672
ローソン鹿島徳前店,石川県鹿島郡中能登町徳前 ３１−１,136.92058,36.97622
有限会社灘万,石川県河北郡内灘町字大根布５丁目 ２８８,136.65166,36.65614
さとうニュージョイス,石川県白山市明光４丁目 １１０,136.60854,36.47652
セブン‐イレブン／松任石川中央病院店,石川県白山市倉光３丁目 ８,136.56627,36.51088
ファミリーマート／能美五間堂店,石川県能美市五間堂町 戊４３−１,136.48788,36.44316
ファミリーマート／本津幡駅前店,石川県河北郡津幡町字清水 チ３７４−４,136.73268,36.67623
セブン‐イレブン／加賀分校店,石川県加賀市分校町 ７９３−２,136.39948,36.32669
ローソン志賀福野店,石川県羽咋郡志賀町福野 ５−１−１,136.77583,36.98812
デイリーヤマザキ／白山村井店,石川県白山市村井町 ６９８−２,136.55489,36.50655
ファミリーマート／かほくバイパス店,石川県かほく市横山 イ２８,136.72467,36.74733
ファミリーマート／金沢西念三丁目店,石川県金沢市西念３丁目 ３２−１６,136.63773,36.59187
有限会社佐藤,石川県七尾市南藤橋町 丑９−１,136.9621,37.04074
セブン‐イレブン／白山村井町店,石川県白山市村井町 ６８０−１,136.55432,36.50726
ファミリーマート／野々市矢作二丁目店,石川県野々市市矢作２丁目 １２８−１,136.61276,36.52204
ローソン／かほく秋浜店,石川県かほく市秋浜 ハ１８−２,136.69734,36.72888
ファミリーマート／新小松インター店,石川県小松市長崎町４丁目 １３５,136.43271,36.42038
ファミリーマート／金沢増泉中央店,石川県金沢市増泉１丁目 １９−３２,136.64226,36.55893
ファミリーマート／金沢増泉三丁目店,石川県金沢市増泉３丁目 １５−１９,136.63678,36.55728
ファミリーマート／金沢涌波店,石川県金沢市涌波１丁目 ６−２７,136.68675,36.5317
ローソン／金沢泉店,石川県金沢市泉２丁目 ６−２３,136.64278,36.54773
ファミリーマート／白山徳丸店,石川県白山市徳丸町 ６６−３,136.57704,36.52256
ファミリーマート／羽咋釜屋町店,石川県羽咋市釜屋町ヰ １５３−１,136.782,36.90685
ローソン／片山津インター前店,石川県加賀市伊切町 い２１４,136.36038,36.3691
ファミリーマート／白山平松店,石川県白山市平松町 ８７−１,136.56812,36.50783
ファミリーマート／輪島宅田店,石川県輪島市宅田町 １５７,136.90292,37.3849
ファミリーマート／金沢石引店,石川県金沢市石引１丁目 １３−３２,136.67203,36.55424
ローソン／白山道法寺店,石川県白山市道法寺町 １０６,136.61234,36.48578
セブン‐イレブン／津幡太田店,石川県河北郡津幡町字太田 ち３１−１,136.72668,36.6516
ファミリーマート／能美道林店,石川県能美市道林町 へ４５,136.44435,36.43934
セブン‐イレブン／金沢松村４丁目店,石川県金沢市松村４丁目 ３７０,136.61151,36.58254
ローソン／ゆのまち山代桔梗丘店,石川県加賀市山代温泉桔梗丘３丁目 １区３,136.35779,36.28645
ファミリーマート／金沢寺町店,石川県金沢市寺町１丁目 ２−１８,136.65717,36.54867
ファミリーマート／金沢二口店,石川県金沢市二口町イ １０１,136.63695,36.57377
ファミリーマート／金沢増泉店,石川県金沢市増泉１丁目 １８−１４,136.64336,36.55815
ファミリーマート／能美大成町店,石川県能美市大成町２丁目 ３６,136.46642,36.44851
ファミリーマート／金沢泉本町店,石川県金沢市泉本町５丁目 ３,136.63676,36.55153
ファミリーマート／羽咋中川店,石川県羽咋市中川町へ ７２−１,136.81807,36.89215
ファミリーマート／七尾城山インター店,石川県七尾市矢田町 五６−１８,136.97949,37.02953
ファミリーマート／金沢新保本店,石川県金沢市新保本５丁目 １１３,136.60651,36.5569
ファミリーマート／金沢大河端町店,石川県金沢市大河端西２丁目 ７４,136.63898,36.61714
ファミリーマート／野々市郷二丁目店,石川県野々市市郷２丁目 １２５,136.58664,36.53394
ファミリーマート／金沢中央市場店,石川県金沢市西念４丁目 ２２−１２,136.63251,36.58844
ファミリーマート／七尾細口店,石川県七尾市細口町 ろ５６−１,136.94295,37.02863
ファミリーマート／金沢涌波三丁目店,石川県金沢市涌波３丁目 １−１６,136.68254,36.53837
ファミリーマート／七尾和倉店,石川県七尾市石崎町香島１丁目 ６,136.9259,37.08546
ファミリーマート／能登高浜店,石川県羽咋郡志賀町高浜町 ケ１−３０,136.7782,36.99711
ファミリーマート／金沢片町ニ丁目店,石川県金沢市片町２丁目 １−６,136.65326,36.56148
ファミリーマート／金沢三口町店,石川県金沢市三口町火 ３３０,136.64316,36.60741
セブン‐イレブン／能美粟生店,石川県能美市粟生町 ソ１５,136.50859,36.45625
ローソン／白山倉光１丁目店,石川県白山市倉光１丁目 １５７,136.57143,36.51377
ファミリーマート／金沢大学店,石川県金沢市若松町ミ ３−１,136.69078,36.55714
ファミリーマート／小松向本折町西店,石川県小松市向本折町 巳２６６−１,136.44589,36.39205
ファミリーマート／金沢木越店,石川県金沢市千木町ロ ９３−１,136.67017,36.6186
ファミリーマート／七尾駅前店,石川県七尾市御祓町 ホ６−１３,136.96381,37.04439
ファミリーマート／金沢堀川店,石川県金沢市堀川町 ９７６−５,136.65265,36.58014
ファミリーマート／野々市野代店,石川県野々市市野代３丁目 １２０,136.60381,36.54288
ファミリーマート／石川県庁前店,石川県金沢市西都１丁目 ５９,136.62733,36.59211
ファミリーマート／金沢藤江北店,石川県金沢市藤江北４丁目 ４８５,136.61852,36.59099
ファミリーマート／白山月橋店,石川県白山市月橋町 ２９３,136.62529,36.46083
ファミリーマート／白山インター店,石川県金沢市中屋南 ８４,136.58641,36.55274
セブン‐イレブン／加賀別所口,石川県加賀市山代温泉南町 １８−５,136.3567,36.28221
セブン‐イレブン／徳光ハイウェイオアシス店,石川県白山市徳光町 ２３９８−２,136.5296,36.53458
セブン‐イレブン／金沢小坂町西店,石川県金沢市小坂町西 １２０−１,136.6731,36.58938
セブン‐イレブン／金沢吉原町店,石川県金沢市吉原町ハ ２６−１,136.69308,36.61191
ローソン羽咋中央町店,石川県羽咋市中央町サ １３０−６,136.77597,36.89608
ファミリーマート／金沢みどり店,石川県金沢市みどり１丁目 ２５５−１,136.58977,36.56832
ローソン／金沢福久東店,石川県金沢市福久東１丁目 ４６−１,136.6844,36.61702
ローソン／津幡みずほ病院前店,石川県河北郡津幡町字潟端 ４５１,136.70979,36.65505
ファミリーマート／七尾田鶴浜店,石川県七尾市田鶴浜町 リ７４−２,136.88963,37.06443
ローソン／金沢鳴和台店,石川県金沢市鳴和台 ８７,136.67863,36.58045
ファミリーマート／内灘大根布店,石川県河北郡内灘町字大根布５丁目 ２８８,136.65166,36.65614
ファミリーマート／小松市民病院前店,石川県小松市向本折町 ニ２４−１,136.44264,36.39774
ローソン／金沢西泉店,石川県金沢市西泉４丁目 １２９−１,136.63184,36.54928
